België,Gewest,Jaar,Diersoort,Aantal slachtingen,Totaal slachtgewicht
België,Vlaams + Brussels Hoofdstedeli,2022,Runderen,548960,151131114
België,Vlaams + Brussels Hoofdstedeli,2022,Varkens,9810633,954629548
België,Vlaams + Brussels Hoofdstedeli,2022,Schapen (totaal),50572,1116918
België,Vlaams + Brussels Hoofdstedeli,2022,Geiten,21237,365868
België,Vlaams + Brussels Hoofdstedeli,2022,Paarden totaal,1299,425624
België,Vlaams + Brussels Hoofdstedeli,2022,Gevogelte,249655673,385678693
België,Waals Gewest,2022,Runderen,206121,87005976
België,Waals Gewest,2022,Varkens,709695,77567006
België,Waals Gewest,2022,Schapen (totaal),45587,999683
België,Waals Gewest,2022,Geiten,2496,31255
België,Waals Gewest,2022,Paarden totaal,12,4247
België,Waals Gewest,2022,Gevogelte,48943838,63359861
België,,2022,Runderen,755081,238137090
België,,2022,Varkens,10520328,1032196554
België,,2022,Schapen (totaal),96159,2116601
België,,2022,Geiten,23733,397123
België,,2022,Paarden totaal,1311,429871
België,,2022,Gevogelte,298599511,449038554
