Jaar,Maand,Verlies van fulltime banen,Verlies van parttime banen,Banenverlies van loontrekkende werkgevers,Totaal banenverlies
2022,Maart 2022,928,341,1043,2312
2022,April 2022,614,233,709,1556
2022,Mei 2022,517,312,1063,1892
2022,Juni 2022,685,396,1237,2318
2022,Juli 2022,433,223,585,1241
2022,Augustus 2022,309,174,370,853
2022,September 2022,1058,338,1067,2463
2022,Oktober 2022,916,454,1040,2410
2022,November 2022,684,320,863,1867
2022,December 2022,722,415,890,2027
2023,Januari 2023,1877,1182,885,3944
2023,Februari 2023,764,402,927,2093
2023,Maart 2023,663,518,1034,2215
