Totaal,Niveau 1,Jaar,Gewicht
Totaal,1. Voeding en niet-alcoholische dranken,2014,170.702
Totaal,1. Voeding en niet-alcoholische dranken,2015,159.85
Totaal,1. Voeding en niet-alcoholische dranken,2016,159.404
Totaal,1. Voeding en niet-alcoholische dranken,2017,164.37
Totaal,1. Voeding en niet-alcoholische dranken,2018,164.136
Totaal,1. Voeding en niet-alcoholische dranken,2019,165.023
Totaal,1. Voeding en niet-alcoholische dranken,2020,157.061
Totaal,1. Voeding en niet-alcoholische dranken,2021,180.807
Totaal,1. Voeding en niet-alcoholische dranken,2022,168.579
Totaal,1. Voeding en niet-alcoholische dranken,2023,155.367
Totaal,2. Alcoholische dranken en tabak,2014,45.819
Totaal,2. Alcoholische dranken en tabak,2015,47.593
Totaal,2. Alcoholische dranken en tabak,2016,48.625
Totaal,2. Alcoholische dranken en tabak,2017,49.723
Totaal,2. Alcoholische dranken en tabak,2018,48.788
Totaal,2. Alcoholische dranken en tabak,2019,49.689
Totaal,2. Alcoholische dranken en tabak,2020,49.783
Totaal,2. Alcoholische dranken en tabak,2021,53.604
Totaal,2. Alcoholische dranken en tabak,2022,53.457
Totaal,2. Alcoholische dranken en tabak,2023,47.365
Totaal,3. Kleding en schoeisel,2014,66.72
Totaal,3. Kleding en schoeisel,2015,57.295
Totaal,3. Kleding en schoeisel,2016,59.073
Totaal,3. Kleding en schoeisel,2017,59.195
Totaal,3. Kleding en schoeisel,2018,54.251
Totaal,3. Kleding en schoeisel,2019,53.244
Totaal,3. Kleding en schoeisel,2020,62.195
Totaal,3. Kleding en schoeisel,2021,52.301
Totaal,3. Kleding en schoeisel,2022,58.761
Totaal,3. Kleding en schoeisel,2023,60.074
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2014,135.616
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2015,146.487
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2016,160.457
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2017,159.3
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2018,165.868
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2019,162.792
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2020,154.983
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2021,172.021
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,171.766
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,201.323
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2014,71.549
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2015,78.291
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2016,75.885
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2017,74.873
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2018,74.796
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2019,74.116
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2020,73.962
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2021,82.304
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,83.626
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,72.905
Totaal,6. Gezondheid,2014,54.055
Totaal,6. Gezondheid,2015,71.553
Totaal,6. Gezondheid,2016,73.845
Totaal,6. Gezondheid,2017,78.675
Totaal,6. Gezondheid,2018,77.24
Totaal,6. Gezondheid,2019,81.526
Totaal,6. Gezondheid,2020,82.409
Totaal,6. Gezondheid,2021,78.807
Totaal,6. Gezondheid,2022,77.041
Totaal,6. Gezondheid,2023,70.602
Totaal,7. Vervoer,2014,139.803
Totaal,7. Vervoer,2015,142.086
Totaal,7. Vervoer,2016,125.121
Totaal,7. Vervoer,2017,117.639
Totaal,7. Vervoer,2018,122.22
Totaal,7. Vervoer,2019,123.58
Totaal,7. Vervoer,2020,124.777
Totaal,7. Vervoer,2021,115.984
Totaal,7. Vervoer,2022,107.351
Totaal,7. Vervoer,2023,105.881
Totaal,8. Communicatie,2014,26.606
Totaal,8. Communicatie,2015,34.209
Totaal,8. Communicatie,2016,28.633
Totaal,8. Communicatie,2017,33.21
Totaal,8. Communicatie,2018,31.984
Totaal,8. Communicatie,2019,32.863
Totaal,8. Communicatie,2020,31.375
Totaal,8. Communicatie,2021,32.958
Totaal,8. Communicatie,2022,39.994
Totaal,8. Communicatie,2023,32.18
Totaal,9. Recreatie en cultuur,2014,103.119
Totaal,9. Recreatie en cultuur,2015,91.877
Totaal,9. Recreatie en cultuur,2016,99.445
Totaal,9. Recreatie en cultuur,2017,93.292
Totaal,9. Recreatie en cultuur,2018,90.705
Totaal,9. Recreatie en cultuur,2019,87.773
Totaal,9. Recreatie en cultuur,2020,92.933
Totaal,9. Recreatie en cultuur,2021,81.89
Totaal,9. Recreatie en cultuur,2022,82.922
Totaal,9. Recreatie en cultuur,2023,85.845
Totaal,10. Onderwijs,2014,6.458
Totaal,10. Onderwijs,2015,5.501
Totaal,10. Onderwijs,2016,6.227
Totaal,10. Onderwijs,2017,6.221
Totaal,10. Onderwijs,2018,5.113
Totaal,10. Onderwijs,2019,4.966
Totaal,10. Onderwijs,2020,4.968
Totaal,10. Onderwijs,2021,5.324
Totaal,10. Onderwijs,2022,5.234
Totaal,10. Onderwijs,2023,5.371
Totaal,"11. Hotels, restaurants en cafés",2014,75.095
Totaal,"11. Hotels, restaurants en cafés",2015,72.74
Totaal,"11. Hotels, restaurants en cafés",2016,76.135
Totaal,"11. Hotels, restaurants en cafés",2017,78.238
Totaal,"11. Hotels, restaurants en cafés",2018,79.564
Totaal,"11. Hotels, restaurants en cafés",2019,80.726
Totaal,"11. Hotels, restaurants en cafés",2020,82.805
Totaal,"11. Hotels, restaurants en cafés",2021,60.681
Totaal,"11. Hotels, restaurants en cafés",2022,67.257
Totaal,"11. Hotels, restaurants en cafés",2023,82.726
Totaal,12. Diverse goederen en diensten,2014,104.457
Totaal,12. Diverse goederen en diensten,2015,92.516
Totaal,12. Diverse goederen en diensten,2016,87.152
Totaal,12. Diverse goederen en diensten,2017,85.264
Totaal,12. Diverse goederen en diensten,2018,85.334
Totaal,12. Diverse goederen en diensten,2019,83.702
Totaal,12. Diverse goederen en diensten,2020,82.749
Totaal,12. Diverse goederen en diensten,2021,83.32
Totaal,12. Diverse goederen en diensten,2022,84.012
Totaal,12. Diverse goederen en diensten,2023,80.361
Totaal,,2014,1000.0
Totaal,,2015,1000.0
Totaal,,2016,1000.0
Totaal,,2017,1000.0
Totaal,,2018,1000.0
Totaal,,2019,1000.0
Totaal,,2020,1000.0
Totaal,,2021,1000.0
Totaal,,2022,1000.0
Totaal,,2023,1000.0
